Strategy,Omega,Energy (J),Energy Std,Latency (s),Latency Std,Decision Time (s),Energy Improvement (%),Latency Improvement (%),Average Improvement (%)
Random,N/A,1206.6335467754157,261.65016458228564,234.77309128682563,43.74130772558269,0.002928360303243001,0.0,0.0,0.0
GTT,N/A,816.4623236348268,128.11712885474955,107.30181182198922,13.677969677858234,0.023328073819478354,0.0,0.0,0.0
GCF,N/A,1545.4513061990283,193.32277389958972,201.03185015920315,20.718858010234225,0.0034693082173665366,0.0,0.0,0.0
FOFF,"vl,vl",744.9069550784862,210.34582815753444,110.08716980029168,15.527423332336884,0.03679587841033936,38.26568496548424,53.10911944938502,45.68740220743463
FOFF,"vl,m",552.7024099966737,267.5346538985137,130.47387332461042,29.277577266232438,0.036113739013671875,54.194675635058786,44.42554186705808,49.310108751058436
FOFF,"vl,vh",392.82801469585195,306.2620852495691,128.11804773268597,27.495035632245582,0.03538231054941813,67.44429858214717,45.428989740497,56.436644161322086
FOFF,"m,vl",796.4926131143789,127.63250319066742,111.49304598418595,12.756673550602416,0.0370627482732137,33.99051308966915,52.51029605945201,43.25040457456058
FOFF,"m,m",801.8301702868353,201.56185654036068,113.43165544506779,15.673241964808444,0.036231263478597,33.54816195607765,51.68455855680381,42.61636025644073
FOFF,"m,vh",713.4348802480018,304.20406902313397,115.75312790055413,20.903533925914047,0.03797043164571126,40.873939552354436,50.69574316796941,45.78484136016192
FOFF,"vh,vl",807.5849263930696,160.98513369905996,106.68967474819911,13.414764360214974,0.03740203380584717,33.071235376204804,54.55625933814757,43.81374735717618
FOFF,"vh,m",809.9899283791096,148.32625989110332,105.94812392112327,10.471486711153394,0.03727595011393229,32.87192034866665,54.872117864783355,43.872019106725006
FOFF,"vh,vh",830.54091862983,150.6059818566427,105.04491121695789,14.032911088005884,0.03516435623168945,31.168752862097058,55.256835167441295,43.21279401476917
FOFF,"l,h",572.53014145917,315.03961025022494,117.83310159506848,21.639898331404993,0.0361587921778361,52.55144836730352,49.80979253235197,51.18062044982774
FOFF,"h,l",818.6616538103397,137.09749935474443,109.10577299106573,15.0954379050124,0.03657237688700358,32.15324934416788,53.527138739349965,42.84019404175892
FOFF,"ml,mh",673.4091524705523,280.65155929172846,117.23404949358347,21.833455903559933,0.03565121491750081,44.19107986263452,50.064954696892,47.128017279763256
FOFF,"mh,ml",846.5886116483515,130.51003191710114,107.48269517491813,11.724618413290951,0.036803301175435385,29.83879704730913,54.21847768592654,42.02863736661783
